"Autor.id";"ID_CONVENIO";"TX_OBJETO_CONVENIO";"VL_GLOBAL";"VL_REPASSE";"DT_PUBLICACAO";"acao.ab"
"FLAVIANO MELO_AC";400966;"Reforma e Ampliação da Rodoviária";"R$ 303.035,00";"R$ 300.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";400955;"Construção de Centro de Convivência do Idoso";"R$ 303.100,00";"R$ 300.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";403941;"Construção de Praça";"R$ 858.600,00";"R$ 850.000,00";"14/07/2014";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";404615;"Aquisição de caminhão, trator agrícola com pneus, ônibus e ônibus Odontológico";"R$ 972.000,00";"R$ 900.000,00";"14/07/2014";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";451768;"Cobertura e melhoria de quadra da praça do bosque";"R$ 374.800,00";"R$ 374.378,50";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";512620;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 288.000,00";"R$ 287.700,00";"20/01/2016";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";517383;"Implantação de Melhorias Sanitárias Domiciliares para Prevenção e Controle de Doenças e Agravos";"R$ 340.500,00";"R$ 340.000,00";"20/01/2016";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";514273;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 300.350,00";"R$ 300.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";514232;"Implantação de Melhorias Sanitárias Domiciliares - MSD";"R$ 300.350,00";"R$ 300.000,00";"20/01/2016";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";514238;"Implantação de Melhorias Sanitárias Domiciliares para Prevenção e Controle de Doenças e Agravos";"R$ 250.300,00";"R$ 250.000,00";"";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";517551;"Implantação de Melhorias Sanitárias Domiciliares.";"R$ 300.500,00";"R$ 300.000,00";"19/01/2016";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";514253;"Implantação de Melhorias Sanitárias Domiciliares para Prevenção e Controle de Doenças e Agravos";"R$ 500.600,00";"R$ 500.000,00";"19/01/2016";"FOMENTO AO SETOR AGROPECUÁRIO "
"FLAVIANO MELO_AC";514272;"Implantação de Melhorias Sanitárias Domiciliares para Prevenção e Controle de Doenças e Agravos";"R$ 440.772,00";"R$ 440.272,00";"19/01/2016";"FOMENTO AO SETOR AGROPECUÁRIO "
"SIBÁ MACHADO_AC";447511;"Formação da rede de atendimento (gestores públicos, assistentes sociais, psicólogos, educadores físicos, líderes comunitários, educadores, cuidadores, etc.) e promoção dos direitos da pessoa idosa para o enfrentamento a violência e exclusão social contra";"R$ 285.989,77";"R$ 268.289,77";"19/01/2015";"APOIO A PROJETOS E EVENTOS DE "
"SIBÁ MACHADO_AC";403949;"Aquisição de retroescavadeira e vassoura mecânica";"R$ 300.400,00";"R$ 300.000,00";"18/08/2014";"FUNCIONAMENTO DE INSTITUIÇÕES "
"SIBÁ MACHADO_AC";506789;"Requalificação de Vias - Recapeamento Asfáltico";"R$ 493.600,00";"R$ 493.100,00";"06/01/2016";"FUNCIONAMENTO DE INSTITUIÇÕES "
"SIBÁ MACHADO_AC";414334;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 702.691,29";"R$ 700.000,00";"19/12/2014";"EXPANSÃO E REESTRUTURAÇÃO DE I"
"SIBÁ MACHADO_AC";414328;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 500.787,89";"R$ 500.000,00";"12/01/2015";"EXPANSÃO E REESTRUTURAÇÃO DE I"
"SIBÁ MACHADO_AC";425284;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 500.863,30";"R$ 500.000,00";"15/01/2015";"EXPANSÃO E REESTRUTURAÇÃO DE I"
"SIBÁ MACHADO_AC";425282;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 456.093,94";"R$ 450.000,00";"19/01/2015";"EXPANSÃO E REESTRUTURAÇÃO DE I"
"SIBÁ MACHADO_AC";414289;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 701.310,03";"R$ 700.000,00";"19/12/2014";"EXPANSÃO E REESTRUTURAÇÃO DE I"
"SIBÁ MACHADO_AC";414322;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 1.101.482,41";"R$ 1.100.000,00";"19/12/2014";"EXPANSÃO E REESTRUTURAÇÃO DE I"
"SIBÁ MACHADO_AC";306159;"Adquirir equipamentos e veículos";"R$ 3.016.500,67";"R$ 2.700.000,00";"";"FUNCIONAMENTO DE INSTITUIÇÕES "
"SIBÁ MACHADO_AC";319199;"Adquirir equipamentos e Veículos para ações administrativas da Secretaria";"R$ 526.386,73";"R$ 500.000,00";"04/01/2013";"FUNCIONAMENTO DE INSTITUIÇÕES "
"SIBÁ MACHADO_AC";406811;"Aquisição de caminhão pipa e caminhonete";"R$ 303.050,00";"R$ 300.000,00";"11/07/2014";"FUNCIONAMENTO DE INSTITUIÇÕES "
"SIBÁ MACHADO_AC";403945;"Construção de calçadas e meio fio em vias pavimentadas urbanas";"R$ 343.687,67";"R$ 343.000,00";"11/07/2014";"FUNCIONAMENTO DE INSTITUIÇÕES "
"ALAN RICK_AC";501765;"Implantação de 04 (quatro) núcleos de esporte educacional do Programa Segundo Tempo, em atendimento às crianças, jovens e adolescentes do município de Rio Branco/AC.";"R$ 303.240,00";"R$ 300.000,00";"08/01/2016";"APOIO À ESTRUTURAÇÃO, REAPAREL"
"FLAVIANO MELO_AC";276381;"Construção de Quadras de Esportes";"R$ 714.300,00";"R$ 700.000,00";"";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";276405;"Construção de Calçadas";"R$ 307.798,93";"R$ 300.000,00";"";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";276453;"Aquisição de Implementos Agrícolas";"R$ 102.050,00";"R$ 100.000,00";"";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";276370;"Duplicação da Avenida Dr Manoel Marinho Monte";"R$ 2.040.820,00";"R$ 2.000.000,00";"11/07/2012";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";276456;"Construção de Calçadas e Ciclovias";"R$ 408.180,00";"R$ 400.000,00";"";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";276448;"Aquisição de Implementos Agrícolas";"R$ 102.050,00";"R$ 100.000,00";"";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";276373;"Construção de Creche";"R$ 510.205,00";"R$ 500.000,00";"";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";271582;"Implantação da 3ª Etapa da Unidade para Atendimento às Pessoas Especiais.";"R$ 1.224.500,00";"R$ 1.200.000,00";"27/06/2012";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";276396;"Construção de Calçadas no município de Assis Brasil/AC";"R$ 307.719,97";"R$ 300.000,00";"";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";310712;"Construção de Calçadas.";"R$ 306.125,00";"R$ 300.000,00";"";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";414225;"Implantação de Melhorias Sanitárias Domiciliares.";"R$ 250.773,50";"R$ 250.000,00";"09/12/2014";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";414200;"Implantação de Melhorias Sanitárias Domiciliares.";"R$ 250.773,50";"R$ 250.000,00";"19/12/2014";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";414203;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 250.700,00";"R$ 250.000,00";"19/12/2014";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";414199;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 250.773,50";"R$ 250.000,00";"09/12/2014";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";414229;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 251.867,41";"R$ 250.000,00";"19/12/2014";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";414212;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 251.943,79";"R$ 250.000,00";"09/12/2014";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";414223;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 250.773,50";"R$ 250.000,00";"09/12/2014";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";414197;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 255.470,68";"R$ 250.000,00";"19/12/2014";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"FLAVIANO MELO_AC";457696;"Implantação de Melhorias Sanitárias Domiciliares";"R$ 250.251,00";"R$ 250.000,00";"19/01/2015";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"ANGELIM_AC";536958;"Cobertura da Quadra de Esportes do Segundo Distrito com Recuperação do Piso e do Alambrado";"R$ 400.500,00";"R$ 400.000,00";"";"APOIO À MANUTENÇÃO DE UNIDADES"
"FLAVIANO MELO_AC";305506;"REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAUDE.";"R$ 1.250.000,00";"R$ 1.250.000,00";"18/01/2013";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"FLAVIANO MELO_AC";442630;"AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE";"R$ 200.000,00";"R$ 200.000,00";"31/12/2014";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"FLAVIANO MELO_AC";518160;"AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE";"R$ 300.000,00";"R$ 300.000,00";"05/01/2016";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"FLAVIANO MELO_AC";435242;"AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE";"R$ 100.000,00";"R$ 100.000,00";"29/12/2014";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"FLAVIANO MELO_AC";525396;"MANUTENÇÃO DE UNIDADE DE SAÚDE";"R$ 1.350.029,87";"R$ 1.350.000,00";"11/01/2016";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"SIBÁ MACHADO_AC";424354;"Aquisição de Máquinas e Equipamentos";"R$ 250.260,00";"R$ 250.000,00";"13/11/2014";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"SIBÁ MACHADO_AC";372108;"PAVIMENTAÇÃO NO RAMAL SÃO JOÃO NO MUNICÍPIO DE MANUEL URBANO NO ESTADO DO ACRE";"R$ 4.210.526,32";"R$ 4.000.000,00";"14/11/2013";"FOMENTO E FORTALECIMENTO DA EC"
"SIBÁ MACHADO_AC";307374;"Implantação da Defensoria Móvel, por meio da aquisição de ônibus adaptado para atividade itinerante visando a Efetivação da Lei Maria da Penha e demais serviços voltados ao acesso a justiça nos territórios de descoesão social na mesorregião do Vale do Acr";"R$ 318.500,00";"R$ 300.000,00";"10/01/2013";"IMPLANTAÇÃO, INSTALAÇÃO E MODE"
"CÉSAR MESSIAS_AC";522180;"Oficinas, apresentações artístico culturais, revista e relatório técnico com registros fotográficos.";"R$ 500.000,00";"R$ 500.000,00";"26/01/2016";"IMPLANTAÇÃO, INSTALAÇÃO E MODE"
"FLAVIANO MELO_AC";204164;"Aquisição de veiculos para atendimento a Portadores de necessidades especiais.";"R$ 232.000,00";"R$ 170.000,00";"28/12/2011";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";276433;"Pavimentação e Construção de Calçadas.";"R$ 5.102.041,00";"R$ 5.000.000,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";311440;"Construção de Calçadas.";"R$ 816.330,00";"R$ 800.000,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";345021;"Aquisição de Equipamentos Agrícolas";"R$ 816.350,00";"R$ 800.000,00";"19/12/2013";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";361054;"Aquisição de Equipamento Agrícola";"R$ 408.200,00";"R$ 400.000,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";345006;"Construção de Sistema de abastecimento de Água.";"R$ 520.834,00";"R$ 500.000,00";"15/08/2013";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";345009;"Construção de Calçadas na Vila do INCRA";"R$ 408.200,00";"R$ 400.000,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";345016;"Construção de Calçadas.";"R$ 306.125,00";"R$ 300.000,00";"08/11/2013";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";348681;"Construção de Calçadas";"R$ 306.200,00";"R$ 300.000,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";349906;"Construção de Calçadas";"R$ 612.250,00";"R$ 600.000,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";493604;"Construção de calçadas em vias pavimentadas";"R$ 510.300,00";"R$ 509.728,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";493010;"Construção de Creche no município de Mâncio Lima/AC";"R$ 801.000,00";"R$ 800.000,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";492219;"Construção de Escola de Ensino Fundamental no município de Mâncio Lima/AC";"R$ 724.000,00";"R$ 723.000,00";"16/12/2015";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";491525;"Construção da Praça Vicente Lopes";"R$ 1.902.000,00";"R$ 1.900.000,00";"27/10/2015";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";493007;"Pavimentação com duplicação da avenida Manoel Marinho Monte, constando drenagem, meio fio e sarjeta.";"R$ 2.252.500,00";"R$ 2.250.000,00";"10/11/2015";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";492215;"Construção da Secretaria Municipal de Agricultura";"R$ 431.088,00";"R$ 430.588,00";"";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";492201;"Aquisição de equipamento - veículo utilitário tipo pick-up";"R$ 150.300,60";"R$ 150.000,00";"23/10/2015";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"FLAVIANO MELO_AC";214443;"Construção de Abrigos para  Usuário de Transporte Coletivo";"R$ 260.416,67";"R$ 250.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"FLAVIANO MELO_AC";348682;"Aquisição de Máquinas e Equipamentos";"R$ 335.000,00";"R$ 328.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"FLAVIANO MELO_AC";346264;"Construção de Calçadas Ciclovia e Iluminação de Rua";"R$ 1.298.000,00";"R$ 1.272.000,00";"15/08/2013";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"FLAVIANO MELO_AC";516789;"Aquisição de Máquinas Agrícolas";"R$ 380.140,00";"R$ 379.652,32";"06/01/2016";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"FLAVIANO MELO_AC";539857;"PAVIMENTAÇÃO EM VIAS URBANAS COM DRENAGEM, MEIO-FIO E SARJETA";"R$ 501.000,00";"R$ 500.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"FLAVIANO MELO_AC";540106;"CONSTRUÇÃO DE CALÇADAS COM MEIO-FIO E SARJETAS EM VIAS PAVIMENTADAS";"R$ 400.500,00";"R$ 400.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"FLAVIANO MELO_AC";536898;"Construção de Creche";"R$ 500.600,00";"R$ 500.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";353536;"Modernização de Quadra Poliesportiva";"R$ 292.500,00";"R$ 292.500,00";"13/11/2013";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";458333;"Apoio ao Programa de Fortalecimento da Psicultura Familiar no Município de Bujari, por meio da Aquisição de Maquinas.";"R$ 500.600,00";"R$ 500.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";380649;"Construção de posto policial no município de Porto do Acre";"R$ 264.000,00";"R$ 250.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";375994;"Aquisição de caminhões para escoamento da produção";"R$ 937.500,00";"R$ 900.000,00";"03/12/2013";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";424366;"Aquisição de Caminhões";"R$ 350.400,00";"R$ 350.000,00";"25/08/2014";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";539859;"Aquisição de veículos utilitários tipo pick-up";"R$ 200.200,20";"R$ 200.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";318934;"Capacitar agentes multiplicadores para atuarem na disseminação de conhecimento em Direitos Humanos, fomentando uma cultura de paz contra a violência em 13 (treze) municípios do Estado do Acre.";"R$ 206.094,68";"R$ 183.270,68";"06/02/2013";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";540105;"Aquisição de veículo utilitário tipo pick-up";"R$ 125.388,60";"R$ 121.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"ANGELIM_AC";540103;"Aquisição de Trator e Implementos Agrícolas";"R$ 400.801,60";"R$ 400.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"ANGELIM_AC";540176;"Ampliação e Adequação de Escolas.";"R$ 1.001.221,44";"R$ 999.219,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"ANGELIM_AC";537904;"Construção de Centro de Convivência";"R$ 801.603,21";"R$ 800.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"ANGELIM_AC";539344;"Construção de Cobertura de Quadra Esportiva no Bairro Santa Cecília";"R$ 400.801,60";"R$ 400.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"CÉSAR MESSIAS_AC";539855;"Aquisição de veículo utilitário tipo pick-up";"R$ 100.200,00";"R$ 100.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";539814;"AQUISIÇÃO DE VEÍCULO UTILITÁRIO TIPO PICK-UP";"R$ 100.200,00";"R$ 100.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";540009;"Construção da Rampa de Acesso ao Rio Juruá";"R$ 500.600,00";"R$ 500.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";539347;"Construção de Passarelas em Alvenaria";"R$ 501.100,00";"R$ 500.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";538052;"Construção de Praça";"R$ 501.100,00";"R$ 500.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";539277;"Construção de Sistema de Abastecimento de Água";"R$ 459.000,00";"R$ 458.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";539291;"Construção do Centro Multiuso";"R$ 528.958,00";"R$ 527.858,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";538049;"Aquisição de Veiculo Utilitário tipo Pick-Up Cabine Simples";"R$ 100.200,00";"R$ 100.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";540107;"Construção de Prédio Público";"R$ 251.000,00";"R$ 250.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"JÉSSICA SALES_AC";540010;"Construção de Prédio Público";"R$ 300.400,00";"R$ 300.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"LEO DE BRITO_AC";519665;"Construção da Passarela de acesso ao Parque Municipal Capitão Ciríaco.";"R$ 250.501,00";"R$ 250.000,00";"07/01/2016";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"ROCHA_AC";539812;"AQUISIÇÃO DE VEÍCULO UTILITÁRIO TIPO PICK-UP";"R$ 150.300,00";"R$ 150.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"ROCHA_AC";538323;"Ampliação do Sistema de Abastecimento de Água";"R$ 300.700,00";"R$ 300.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"ROCHA_AC";537460;"Infraestrutura ¿ Ampliação de Prédio Público";"R$ 280.500,00";"R$ 280.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"ROCHA_AC";539337;"Aquisição de Veículo Utilitário tipo pick-up.";"R$ 100.200,00";"R$ 100.000,00";"";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";407054;"Aquisição de veículos administrativos.";"R$ 268.000,00";"R$ 250.000,00";"14/07/2014";"PROMOÇÃO DOS DIREITOS HUMANOS "
"SIBÁ MACHADO_AC";516840;"Modernização e Fortalecimento da Defensoria Pública do Estado do Acre no município de Rio Branco, por meio da aquisição de um veículo tipo Caminhonete, equipamentos de informática, Capacitação de  Servidores em mediação e técnicas autocompositivas e contr";"R$ 315.000,00";"R$ 300.000,00";"";"PROMOÇÃO DOS DIREITOS HUMANOS "
"SIBÁ MACHADO_AC";311516;"Promover a divulgação de direitos fundamentais e sociais e o papel da DPE-AC e sua Ouvidoria, através da realização de seminários e oficinas para agentes sociais estratégicos no processo de democratização do acesso à cidadania e à Justiça nos municípios d";"R$ 105.300,00";"R$ 100.000,00";"10/01/2013";"IMPLANTAÇÃO E MODERNIZAÇÃO DE "
"SIBÁ MACHADO_AC";501395;"Modernizar a agricultura acreana através da aquisição de tratores e implementos agrícolas.";"R$ 1.476.488,00";"R$ 1.454.231,00";"07/01/2016";"IMPLANTAÇÃO DE MELHORIAS SANIT"
"SIBÁ MACHADO_AC";353115;"AQUISIÇÃO DE MAQUINAS E/OU EQUIPAMENTOS";"R$ 253.906,25";"R$ 243.750,00";"13/12/2013";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"SIBÁ MACHADO_AC";354539;"Apoio ao fortalecimento do associativismo rural para  produção agrícola por meio de diagnósticos, capacitações, divulgação e fomento à produção de hortaliças.";"R$ 782.279,31";"R$ 750.000,00";"13/01/2014";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"SIBÁ MACHADO_AC";403947;"Urbanização com drenagem, construção de calçadas e meio fio no Conjunto Jardim São Francisco em vias urbanas pavimentadas";"R$ 1.075.571,61";"R$ 1.000.000,00";"25/08/2014";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"SIBÁ MACHADO_AC";406090;"Implantação de Centros Comunitários";"R$ 523.522,86";"R$ 500.000,00";"";"ESTRUTURAÇÃO DA REDE DE SERVIÇ"
"SIBÁ MACHADO_AC";353116;"Recuperação de estradas vicinais";"R$ 497.500,00";"R$ 487.500,00";"17/01/2014";"ESTRUTURAÇÃO DA ATENÇÃO ESPECI"
"SIBÁ MACHADO_AC";406656;"Aquisição de Retroescavadeira";"R$ 216.300,00";"R$ 200.000,00";"";"ESTRUTURAÇÃO DA ATENÇÃO ESPECI"
"ANGELIM_AC";520128;"Implantação de Academias da Comunidade no Município de Rio Branco.";"R$ 293.086,17";"R$ 292.500,00";"04/01/2016";"ESTRUTURAÇÃO DE UNIDADES DE AT"
"SIBÁ MACHADO_AC";289802;"Modernização do Tribunal de Justiça do Estado do Acre por meio da aquisição de software para publicação do Diário Oficial da Justiça e aquisição de Módulos de Expansão para STORAGE (Disco externo para armazenamento de dados).";"R$ 655.625,34";"R$ 500.000,00";"10/01/2013";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
"SIBÁ MACHADO_AC";378990;"Aquisição de Máquinas e Equipamentos";"R$ 306.125,00";"R$ 300.000,00";"31/12/2013";"IMPLEMENTAÇÃO DE INFRAESTRUTUR"
