"Autor.id";"TEXTO_POR_AUTOR"
"CARMEN ZANOTTO_SC";"estruturação rede serviços proteção social especial aquisição veículos aquisição equipamento material permanente unidade urgência emergência equipamento material permanente unidade urgencia emergência ampliar qualificar estrutura central regional distribuição alimentos região serra catarinense através aquisição máquinas equipamentos baú isotérmico sistema refrigeração construção portal turístico implantação pavimentação urbana capão altosc pavimentação rua tiburcio xavier oliveira cerro negrosc construção mirante morro antenas pavimentação rua pedro mattos acesso parque nacional maçã estação experimental epagri estação metereológica construção museu público municipal revitalização rua emiliano ramos via gastronômica"
"CELSO JACOB_RJ";"drenagem pavimentação rua francisco alves localizada bairro boa união três riosrj projeto educacional visando combate uso substâncias psicoativas capacitação atenção saúde mental"
"CELSO MALDANER_SC";"reforma unidade nutrição dietética aquisição equipamento material permanentes pavimentação passeios publicos ruas centro arvoredo pavimentação recapeamento vias publica urbanas pavimentação pedras irregulares rua princesa isabel distrito ipomeia município rio antas sc obras pavimentação vias urbanas município água doce pavimentação concreto armado rua dilmar antonio lamperti pavimentação paralelepípedo parte rua valdomiro deus silva implantação pavimentação vias públicas urbanas pavimentação pedras irregulares drenagem pluvial passeio público município santa helena sc pavimentação ruas sede município construção centro eventos bom jesus oeste 1ªetapa revitalização parque uva ampliação reforma ginásio municipal esportes gelson tadeu lara implantação modernização infraestrutura esportiva apoio realização 4º mercoláctea 2012 feira internacional setor lácteo realizará periodo 08 11 novembro 2012 municipio chapecósc projeto aquisição fertilizantes atendimento pequenos produtores municipio apoio realização 2° exposul exposição agropecuária comercial industrial artesanal santiago sul sc período 13 15 abril 2012 projeto aquisição semente aveia preta adubação verde fomento setor agropecuário aquisição caminhão caçamba aquisição máquinas equipamentos agrícolas aquisição patrulha mecanizada aquisição escavadeira hidráulica pavimentação pedras irregulares rodovia municipal acesso linha melancia linha feliciano total 8658m2 aquisição equipamentos agrícolas aquisição patrulha agrícola mecanizada implementos agrícolas aquisição patrulha agrícola mecanizada implementos agrícolas aquisição caminhão caçamba aquisição equipamentos patrulha mecanizada município dionísio cerqueirasc aquisição implementos equipamentos agrícolas revitalização ciclovia pista caminhada implantação quadra poliesportiva pista skate praça lago implantação modernização infraestrutura esportiva estruturação rede serviços proteção social básica construção centro referência assistência social cras aquisição pá carregadeira aquisição escavadeira hidráulica aquisição máquina escavadeira hidráulica aquisição motoniveladora aquisição escavadeira hidráulica aquisição motoniveladora aquisicao equipamentos agrícolas aquisição patrula mecanizada aquisição caminhão aquisição implementos agricolas aquisição trator agricola aquisição equipamentos agroindustria aquisição patrulha agrícola mecanizada aquisição motoniveladora aquisição máquinas implementos agrícolas aquisição implementos agricolas aquisição maquinas implementos agricolas aquisição escavadeira hidráulica aquisição máquinas implementos agrícolas aquisição motoniveladora aquisição patrulha mecanizada aquisição britador móvel aquisição 01 rolo compactador aquisição equipamentos material permenente unidade atenção saúde pavimentação asfáltica acesso bairro vila sulina segmento avenida joão pessoa pavimentação asfaltica cbuq cimento betuminoso usinado quente drenagem pluvial sinalização partes avenida comercio trechos i trechos ii trechos iii área total 1182655m² implantação pavimentação asfáltica ruas bairro universitário município itapiranga pavimentação asfáltica drenagem pluvial rua leopoldo junges pavimentação pedras irregulares basalto drenagem pluvial superficial ruas município monte carlo pavimentação asfáltica drenagem sinalização vias perímetro urbano município salto velososc pavimentação pedra irregular basalto drenagem pluvial trecho rua fredolino rossdeutcher municipio brunópolis sc executar obras pavimentação asfáltica drenagem pluvial sinalização vias públicas urbanas pavimentação vias urbanas pavimentação asfáltica rua pe luiz froener implantação obras infraestrutura urbana pavimentação rua dom pedro ii lourenço oeste sc recuperação pavimentação asfáltica 23716 m² ruas fazem parte eixo central município caçadorsc pavimentação concreto betuminoso usinado quente cbuq pavimentação pedras irregulares drenagem pluvial pavimentação pedras irregulares ruas cidade guaraciaba aquisicao equipamento material permanente unidade hospitalar urgencia emergencia aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente aquisição equipamento material permanente unidade atenção especializada saúde reforma unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição 01 arco cirúrgico completo construção pavilhão comunitário linha tres amigos área 102638 m² construção pavilhão comercial 1ª etapa construção centro eventos comunitário comunidade vista alegre municipio quilombo centro público comercialização produtos artesanais aquisição equipamentos materiais permanentes hospital fundação aquisição equipamento material permanente unidade atenção especializada saúde implantação modernização infraestrutura esportiva município miguel oeste sc implantação infraestrutura esportiva mondaisc construção quadra esportes coberta implantação equipamentos permanentes município capinzal reforma ginásio municipal esportes mário alcides coradi implantação modernização infraestrutura esporte educacional recreativo lazer maravilhasc construção quadra esportiva coberta manutenção unidade saúde manutenção unidade saúde aquisição equipamento material permanente atendimentos urgência ser instalado centro cirúrgico construção centro turismo cultura pavimentar drenar segundo trecho acesso parque municipal exposição integrar apoio projetos infraestrutura turística construção 1ª etapa parque exposições rodeios município piratuba sc construção praça avenida caetano vieira costa praça morro cruz reperfilagem asfáltica sobre calçamento emac101 estrada municipal águas chapecó acesso pontos turísticos aquisição implementos agrícolas aquisição rolo compactador município pinheiro preto aquisição trator agrícola rodas adquirir implementos agrícolas aquisição implementos agrícolas município aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição máquina apoio agricultura familiar aquisição máquinas equipamentos aquisição implementos agrícolas equipamentos agrícolas construção centro eventos município curitibanossc 2ª etapa aquisicao equipamento material permanente unidade hospitalar urgência emergência aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde reforma unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição patrulha agrícola mecanizada aquisição maquinário setor agrícola município salto velososc aquisição rolo c0ompactador vibratório novo aquisição trator pneus 4x4 implementos agrícolas 01 colhedora forragem 01 distribuidor adubo orgânico liquido 3000l 01 distribuidor adubo orgânico liquido 5000l01 distribuidor adubo orgânico liquido 6000l plaina agrícola adquirir retroescavadeira aquisição patrulha agrícola mecanizada aquisição trator esteiras aquisição rolo compactador aquisição caminhão basculante trucado aquisição patrulha agrícola mecanizada aquisição tratores agrícola retroescavadeira aquisição patrulha agrícola mecanizada aquisição caminhão basculante aquisição caminhão basculante aquisição motoniveladora aquisição máquinas implementos agrícolas aquisição trator agrícola aquisição patrulha agricola mecanizada aquisição patrulha agricola mecanizada construção centro eventos andreas maldaner cidade modelo sc 2ª 3ª etapa construção primeira etapa centro cultural 25 julho pavimentação asfáltica trecho ii acesso gruta senhora lurdes revitalização praça central construção portais turísticos município cerro negrosc revitalização praça pública município ipuaçu sc implantação praça pública bairro santo antonio município campos novossc pavimentação asfáltica rua guilherme fantinel bairro josé pavimentação pedras irregulares trechos ruas miguel novick idamir bogoni bairro nações pavimentação drenagem pluvial ruas verno schwingel tonélio ebeling pavimentação vias urbanas reperfilagem pavimentação asfáltica recapeamento asfáltico sobre pavimento pedras irregulares sinalização vias públicas perímetro urbano município vargeão melhoria infraestrutura através pavimentação vias urbanas município erval velho pavimentanção urbana asfalto cauq ruas presidente tancredo neves concórdia grito ipiranga belo horizonte bosque formosa pavimentação asfalto usinado quente sobre calçamento existente drenagem pluvial sinalização vias urbanas sendo parte rua francisco assis área 144100m² parte av progresso área 481080m² perfazendo tota implementar reperfilagem capa asfáltica sobre pedras irregulares drenagem pluvial sinalização trecho av laju trecho rua teotônia centro cidade mondaí recapeamento vias urbanas pavimentação asfáltica vias urbanas pavimentação asfáltica ruas centrais município riqueza pavimentação pedras irregulares obras arte drenagem pluvial pavimentação asfáltica cbuq cimento betuminoso usinado quente drenagem pluvial sinalização ruas perímetro urbano obras calçamento pedras irregulares ruas centrais município riqueza sc implantação pavimentação vias públicas urbanas implantação pavimentação vias públicas urbanas pavimentação pedra irregular basalto drenagem pluvial sinalização viária município monte carlo recapeamento asfáltico pavimentação pedras irregulares ruas cidade obra integrada reabilitação urbana pavimentação asfáltica vias urbanas município recapeamento asfáltico ruas loteamento macieira bairro liberata pavimentações calçamento vias urbanas município jaborá recapeamento cbuq vias urbanas recuperação pavimentação asfáltica pavimentação vias urbanas passeios públicos trechos ruas itamarati duvidor três maio projeto aquisição fertilizantes adubo semente pastagem distribuição agricultores associados agrisul pavimentação asfáltica ruas avenidas município maravilhasc pavimentação vias públicas urbanas município tigrinhossc"
"CELSO RUSSOMANNO_SP";"aquisição material consumo unidade saúde aquisição material consumo material médico hospitalar aquisição material consumo manutenção serviços hospital amaral carvalho aquisição material consumo material médicohospitalar aquisição materiais médico hospitalar trator agrícola aquisicao equipamentos aquisição retroescavadeira"
"CHICO ALENCAR_RJ";"realização 12 oficinas pedagógicas sobre cidadania direitos humanos escolas educação básica existentes sistema prisional estado rio janeiro realizar exposições educativas itinerantes acervo arte popular museu casa pontal implantar centro referência direitos humanos estado rio janeiro ampliando oferta serviços públicos integrados coordenados forma rede modo assegurar garantir exercício promoção direitos fundamentais manutenção unidade saúde promover fortalecimento cooperativismo popular economia solidária estado rio janeiro através três ações prioritárias 1 fomento incubadora empreendimentos econômicos solidários fortalecendo quadros aperfeiçoando realização segunda exposição temporária museu casa pontal ações educativas apresentação musical difusão cultura popular brasileira cooperação interinstitucional sensibilização capacitação técnica membros servidores ministério público pernambuco mppe articulação polícias civil militar pe além outros ministérios públicos instituições públicas federais"
"CHICO D'ANGELO_RJ";"aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamentos materiais permanentes fundação benedito pereira nuneshospital escola álvaro alvim projeto estruturação serviços pessoa deficiência objetiva equipar secretaria municipal acessibilidade cidadania recursos serviços contribuem proporcionar ampliar habilidades funcionais pessoas deficiência manutenção unidade atenção especializada saúde estruturação unidade atenção especializada saúde manutenção unidade saúde"
"CHICO LOPES_CE";"implantação 2ª etapa ampliação av padre josé holanda vale município maracanaú implantação cozinha comunitária meio execução obras aquisição equipamentos utensílios construção açude pitombeira localidade sítio pitombeira município independênciace construção açudes públicos localidades denominadas sítio pobre sítio catingueira município farias brito ceará construção rodoviária sede município farias brito ceará equipar modernizar 08 centros referência assistência social cras atender indivíduos famílias situação vulnerabilidade social executar serviço proteção atendimento integral família paif realizar ações convivência f presente projeto objetivo execução devidas medidas técnicas jurídicas sociais administrativas necessárias efetivação regularização fundiária comunidades consolidadas urbanas município fortaleza pavimentação drenagem ruas município maranguapeceará pavimentação rua josé mota localizada bairro parque joão maranguape ceará execução obras calçamento localidades denominadas vila baraúnas vila alecrim vila escondido município potengi ceará pavimentação pedra tosca ruas pedro barros distrito sede sdo i sdo ii localidade monte alegre sdo i localidade barriguda vila pereiros município novo orientece pavimentação distritos matris gonçalo engenheiro joão tomé sede município ipueiras ce pavimentação via acesso cachoeira belizário construção quadras poliesportivas município farias brito ceará construção duas quadras poliesportivas cobertas localidades palestina campestre município novo orientece construção duas quadra poliesportivas cobertas localidades ematuba riacho meio município independênciace construção quadra poliesportiva sede município potengi ceará implantação modernização infraestrutura esportiva estádio municipal horácio inácio sousa domingão município horizonte ce implantação 5ª etapa estádio municipal maracanaúce construção quadra poliesportiva município umirim ce construção campo futebol distrito queimadas município horizonte ce construção quadra poliesportiva coberta bairro planalto reforma quatro piscinas csus construção quadra poliesportiva municipio horizontece pavimentação asfáltica estrada município benedito ce construção passagem molhada localidade denominada sítio josé município potengi ceará implantação implementação 01 unidade complementar programa estação juventude implantação 1ª etapa ampliação av padre josé holanda vale município maracanaú construção açude público localidade denominada caraíbas município potengi ceará implantação requalificação infra estrutura sistemas transporte público coletivo urbano passageiros execução obras drenagem terraplenagem pavimentação execução obras drenagem terraplenagem pavimentação urbanização pavimentação drenagem lagoa tigre 3ª etapa pavimentação pedra tosca drenagem águas pluviais rua sdo i localidade lagoa tigre sul município novo orientece construção praça pública sede município araripe construção praça eventos sede município potengi ceará construção centro feiras comercialização produtos típicos artesanais bairro centro município novo orientece pavimentação avenida jorge albino localidade triângulo município chorozinho ce pavimentação pedra tosca município horizonte ce pavimentação sede distrito quixariú município campos sales ceará pavimentação município farias brito ceará construção pavimentação distrito pajeu municipio araripece pavimentação município santana caririce implantação pavimentação vias públicas urbanas município independênciace pavimentação pedra tosca município horizontece construção quadra poliesportiva coberta município nova olinda ce construção quadra poliesportiva municipio araripe ce implantação modernização infra estrutura esportiva município maracanaú pavimentação drenagem ruas sede município maranguapeceará pavimentação corredor liga praia melancias cima peixe gordo município icapuíce pavimentação distritos aranaú juritiania município acaraú ce implantação pavimentação vias município tauá implantação pavimentação vias públicas urbanas município independência ce ampliação unidade atenção especializada saúde reforma unidade atenção especializada saúde"
"CLAUDIO CAJADO_BA";"estruturação unidades atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde reforma praça joão localizada centro sede municipio belmonte ba construção praça município mulungu morroba 2ª etapa reforma praça pompílio leite cidade brumadoba 5ª etapa urbanização lagoa candibaba construção quadra poliesportiva aberta sede povoado brejo município érico cardoso bahia construção quadra esportiva neste município irecê ba construção 1ª etapa praça juventude município caculéba implantação eou modernização infraestrutura esportiva implantação telecentro municipio maracas ba implantação melhorias sanitarias domiciliares msd distritos mogiquiçaba boca corrego barrolandia povoado santa maria eterna ba implantação melhorias sanitárias domiciliares implantação melhorias sanitárias domiciliares aquisição patrulha mecanizada municipio souto soaresba aquisição equipamentos implementos agrícolas pequeno porte aquisição 02 dois caminhões basculantes reforma modernização centro abastecimento várzea nova ba construção mercado municipal sede município brotas macaúbas aquisição patrulha mecanizada aquisição máquinas equipamentos agrícolas pavimentação drenagem superficial diversas rua povoado santa maria eterna município belmonte bahia pavimentação ruas povoado umbuzeiro município mundo novoba pavimentação ruas sede município contendas sincorá bahia pavimentação município america dourada ampliação instalações físicas 36ª companhia independente polícia militar 4ª etapa urbanização lagoa candibaba revitalização ampliação praça bandeira aquisição patrulha mecanizada município souto soares bahia reforma igreja matriz sagrado coração jesus município itajuípebahia motoniveladora motor diesel cabine fechada escarificador traseiro aquisição motoniveladora patrol aquisição 02 caçambas 01 trator agrícola implementos aquisição patrulha mecanizada aqusição máquinas equipamentos construção 09 passagens molhadas sendo localidades bamburral capavira comocochico espinho passagem rio passagem carneiros peixe gordoperiperi amorgoso setenta oito intuito melhorar trafego estradas vicinais f construção quadra poliesportiva aberta povoado vaca seca município rio pires bahia implantação modernização infraestrutura esportiva construção quadra coberta construção quadra poliesportiva construção praça fernando daltro sede município várzea nova bahia aquisição equipamento material permanente estruturação serviço ampliação unidade atenção especializada saúde ampliação unidade atenção especializada saúde reforma unidade atenção especializada saúde reforma maternidade hospital dilton bispo santana sede município dias d ávila aquisição equipamento material permanente aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde construção unidades sanitárias domiciliares residências melhorias sanitárias domiciliares município iraquara construção 50 sanitários povoado sonhê implantação melhorias sanitárias domiciliares município salinas margaridaba residências onde saneamento básico ainda é satisfatório condição humana implantação centro cultura município cândido salesba urbanização entorno lagoa municipal candiba terceira etapa urbanização duas praças praça edmar ferreira localizada avenida vicente cristo lopes praça jorge fernandes centro iuiuba aquisição patrulha mecanizada construção praça município mulungu morro bahia apoio projetos infraestrutura turísticaconstrução 2 duas praças públicas distrito ibiaporã 1 praça pública sede município acessibilidade turística pavimentação drenagem distrito encarnação rua jorge amado distrito conceição rua murteira sede município rua base aquisição equipamento material permanente unidade atenção especializada saúde aquisição equipamento material permanente unidade atenção especializada saúde pavimentação drenagem superficial diversas ruas sede município belmonte compreendendo total 10630 m² área ser pavimentada execução obras pavimentação paralelepípedos distrito guirapá município pindaí ba implantação infraestrutura bairros periféricos através execução obras pavimentação drenagem águas pluviais pavimentação diversas ruas município lagedo tabocal ba pavimentação drenagem ruas sede município riacho santana pavimentação drenagem vias pavimentação ruas povoado umbuzeiro pavimentação diversas logradouros município joão dourado pavimentação ruas paralelepipedo municipio america douradaba execução obra pavimentação paralelepípedos diversas ruas sede município rio pires bahia recapeamento pavimentoem ruas centro bairro nova brasilia adjacências sede município candeias objeto presente convênio é alocação recursos planejamento urbano pavimentação várias ruas bairro morumbi situado município maracás bahia objetivo ofertar melhorias acessibilidade pedestres motoristas pavimentação vias públicas município rio antonioba pavimentação asfáltica implantação pavimentação paralelepípedo vias públicas urbanas município barra mendes ba pavimentação drenagem reabilitação praça emiliano santos cunha centro desta cidade ipupiara ba implantação pavimentação paralelepípedo bairro josé novais município apuaremaba pavimentação vias paralelepípedona sede município boninalba pavimentação paralelipípedos drenagem superficial diversas ruas município brotas macaúbas pavimentação paralelepípedo drenagem superficial ruas município tanque novo estado bahia"
"CLEBER VERDE_MA";"restaurar praça criança localizada esquina rua estrela rua nazaré centro histórico luís matomabada dentro conjunto arquitetônico paisagístico centro urbano cidade luís construçao sistema abastecimento agua povoados canto ferreira santana chapada limpa municipipio chapadinha emenda deputado cleber verde nº 23880008 funcional programática nº 216312066211a0021 recuperação estradas vicinais acesso pa flechal projetos assentamentos incrama localizado município santa luizama recuperação estradas vicinais projetos assentamentos incrama pas pa palmares ii santa rita mangueira josezinho localizados município nina rodriguesma conforme plano trabalho projeto básico anexo 1ª etapa urbanização iluminação orla lagoa cidade construção praça pública rio novo município paulino neves recuperação estradas vicinais zona rural municipío bom lugarma construir estradas vicinais extensão 1636990m compreendendo trechos pov joão chagas povoado califórnia pov morros povoado centro novo bairro cutio povoado lagoinha recuperar estradas vicinais extensão 2965336 co reformar construir estradas vicinais localidades município senador alexandre costama compreendendo 1500 km construçãoimplantação estradas vicinais contemplando povoados centro novo morros cutio califórnia joão chagas recuperação estradas vicinais recuperação estradas vicinais trecho sede povoado livramento povoado junco povoado santa edwirges extensão total 2751 km localizados municipio santo antônio lopes ma implantação sistemas abastecimento água povoados tingidor vista alegre zona rural município paulino nevesconforme emenda parlamentar nº 23880002 obras serviços engenharia pavimentação drenagem superficial ruas bairros itaguara itapiracó josé ribamarma construção mercado ampliação unidade atenção especializada saúde ampliação iluminação ornamental av ataliba vieira almeida município chapadinhama reforma ampliação campo futebol pmma luís maranhão pertence complexo esportivo construção estadio municipal futebol construção centro convenções construção centro comercialização produtos artesanais pavimentação drenagem superficial avenida beira rio municipio pirapemas apoio projetos infraestrutura turística reforma modernização praça dr carlos macieira praça prefeitura construção praça eventos concha acústica município milagres implantação terminal rodoviário transporte passageiros coletivo muncicípio chapadinhama recuperação estradas vicinais pa nova vida município pirapemas ma construção centro convivência idoso recuperação 7100km estradas vicinaisnos pas situados município santarita 3ª etapa urbanização orla lagoa cidade construção 01 campo futebol município cidelândia ma construção 01 campo futebol município cidelândia ma construção 01 campo futebol município cidelândia ma recuperação 3450km estradas vicinais pes cariongo ii pindoval implantação 3 sistemas simplificado abastecimento dágua pas pa ciganasanta catarina pov morro grande pa ciganasanta catarina pov santa bárbara pe cariongo recuperação estradas vicinais localidade pa zona rural município açailândiama construção mercado peixe município governador luiz rocha ma construção centro comercialização artigos artesanais cobertura tenso estrutura quiosques venda produtos município pedreiras construção aquisição equipamentos agroinsdustria babaçu municipio santa rita ma projeto visa contratação grupo teatral 17 apresentações serem realizadas praça viva localizado rua velha município miranda norte classificação livre entrada gratuita projeto objetiva contratação peça teatral 17 apresentações ser realizada centro cultural municipal municipio cantanhede publico aproximadamente 850 oitocentos cinquenta pessoas sessão totalizando aproximadame"
"CONCEIÇÃO SAMPAIO_AM";"construção quadra esporte comunidade pedro jacitara"
"COVATTI FILHO_RS";"conclusão ginásio esportes muliterno reforma ampliação modernização quadra poliesportiva distrito pinhalzinho implantação modernização espaços esportivos município novo xingu construção quadra coberta poliesportiva vila arco iris implantação modernização infraestrutura esportiva"
"CÉLIO SILVEIRA_GO";"pavimentação asfáltica drenagem superficial via acesso anel viário luziânia escoamento produção industrial"
"CÉSAR HALUM_TO";"construção arquibancada estádio municipal bicão construção quadra poliesportiva esporte cidade nova olindato execução conservação estradas vicinais município muricilândia to melhoramento manutenção estradas vicinais município babaçulândia projeto aquisição calcário locação máquinas correção preparo solos município palmas to manutenção estradas vicinais construção centro comunitário pequeno medio produtor rural pedro afonso reforma ampliação feira coberta recuperação estradas vicinais município nova olindato implantação infraestrutura pavimentação asfaltica galerias águas pluviais vias urbanas pedro afonsoto pavimentação vias publicas cidade goianorte to infraestrutura urbana pavimentação asfáltica município ananás iii pavimentação asfáltica drenagem superficial meio fios sarjetas ruas avenidas município ampliação unidade atenção especializada saúde pavimentação construção guias sarjetas calçadas pavimentação construção guias sarjetas calçadas pavimentação vias urbanas município tocantinopolis meio fios pavimentação vias urbanas município praia norteto calçamento bloquetes nossetores lopes silva carmelito esetor rua nova execução pavimentação cidade dianópolisto pavimentação asfáltica vias urbanas aquisição patrulha mecanizada apoio pequenos produtores rurais deste município tocantiópolis recuperação estradas vicinais município goiatinsto construção pontes estradas vicinais municipio colinas tocantins recuperação estradas vicinais município ananásto projeto aquisição distribuição calcário recapeamentos asfáltica vias publicas urbanas pavimentação vias urbanas município tocantinopolisto pavimentação vias urbanas município aguiarnópolisto pavimentação vias públicas pavimentação vias urbanas município praia norteto construção praça pública apoio realização 3ª expocorte araguaína to pavimentação asfaltica rua 10 setor norte implantação modernização infraestrutura esportiva implantação modernização infraestrutura esportiva implantação modernização infraestrutura esportiva implantação modernização infraestrutura esportiva implantação modernização infraestrutura esporte educacional recreativo lazer implantação quadra poliesportiva esporte cidade luzinopolisto aquisição equipamento material permanente unidade atenção especializada saúde qualificação vias transporte públicos coletivos urbanos execução ações combate drogas município dianópolis to construção centro convenções município araguaína 1º etapa"
"CÉSAR MESSIAS_AC";"oficinas apresentações artístico culturais revista relatório técnico registros fotográficos aquisição veículo utilitário tipo pickup"
"DAGOBERTO_MS";"construção abatedouro municipal aquisição equipamentos municipio camapuã ms aquisição equipamentos material permanente equipar modernizar dois cras aquisição equipamentos aquisição material consumo unidade apae campo grande instituto pesquisas ensino diagnósticos ipedapae"
"DAMIÃO FELICIANO_PB";"aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição máquinas equipamentos agrícolas aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição máquinas equipamentos aquisição máquinas equipamentos agrícolas aquisição máquinas equipamentos agrícolas aquisição máquinas implementos agrícolas aquisição patrulha mecanizada aquisição máquinas implementos agrícolas aquisição patrulha mecanizada aquisição máquinas equipamentos arícolas aquisição máquinas equipamentos agrícolas adequação mercado público municipal 1° primeira etapa aquisição patrulha mecanizada implementos agrícolas município caiçara pb construção novo mercado público sede município pitimbu aquisição equipamentos material permanente visando transferência recursos necessários suficientes prover oferta ações serviços públicos saúde população geral apoio assistência incor é realizado sistemas eletrônico aquisição equipamentos permanentes conclusão construção estádio municipal futebol sede município pitimbu recuperação conclusão campo futebol município santa inês pb apoio manutenção unidade saúde aquisição material médicohospitalar serviço farmácia visando demanda pacientes portadores câncer sistema único saúdesus 3ª etapa construção campo futebol construção campo reforma estádio ronaldo ribeiro costa pedras fogo reestruturação campo futebol sede município 1° fase reforma campo futebol aquisição equipamentos permanentes construção 02 duas pistas cooper atender população bairro municípios tibiri bairro tibiri fábrica município santa rita pb conclusão estádio municipal carlos ernestro campão município queimadas pb implantação infraestrutura esportiva pavimentação ladeira acesso á praia coqueirinho condepb construção praça município queimadaspb construção praça município campina grandepb construção praça município santa ritapb construção praça pública esperança pb construção praça município bayeux aquisição patrulha mecanizada aquisição patrulha mecanizada implementos agrícolas município solânea pb aquisição patrulha mecanizada implementos agrícolas município francisco pb aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada implementos agrícolas município caiçara pb implantação melhorias habitacionais controle doença chagasnas comunidades pereiro branco riacho seco prata município francisco pb implantação melhorias habitacionais controle doença chagas município manaíra pb implantação melhorias habitacionais controle doença chagas revitalização praça central município gurinhém pb pavimentação drenagem acesso cachoeira ouricurí município pilões pb revitalização praça elias gomes araújo município gurinhém pb construção praça rua severino gonçalo município construção açude sitio cachoeira municipio cacimbaspb construção campo futebol município lastropb construção estádio futebol barra santa rosa pb implantação infraestrutura esporte urbanização avenida manoel sousa pedrosa construção praça eventos barragem açude paraíso município franciscopb apoio projetos infraestrutura turística construção praça município reforma mercado público tibiri município santa rita pb apoio projeto infraestrutura turística construção portal entrada pavimentação drenagem chã pia município areia pb apoio projetos infraestrutura turistica revitalização parque lagoa município caiçara pb apoio projetos infraestrutura turística construção praça sede município construção portal entrada revitalização praça josé município curral velho pb xvi festival brasileiro cachaça rapadura bregareia aquisição equipamento material permanente unidade atenção especializada saúde aquisição material médicohospitalar serviço farmácia hospital napoleão laureano mantido fundação laureano aquisição equipamento material permanente unidade atenção especializada saúde ampliação unidade atenção especializada saúde aquisição máquinas equipamentos aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada aquisição patrulha mecanizada xiv festival brasileiro cachaça rapadura xiv bregareia ampliação hospital padre zé implantação unidade terapia nutrição enteral utne pavimentação drenagem diversas ruas município areia pb implantação pavimentação vias públicas urbanas município boa vista pb aquisição equipamento material permanente unidade atenção especializada saúde construção matadouro público município areia pb aquisição equipamento material permanente unidade atenção especializada saúde implantação melhorias habitacionais controle doença chagas município cacimbaspb sistema esgotamento sanitário sede município cacimbas pb execução sistema esgotamento sanitário município curral velho pb aquisição equipamento material permanente unidade atenção especializada saúde implantação pavimentação vias públicas urbanas implantação pavimentação vias públicas urbanas implantação pavimentação vias públicas urbanas município caraúbas pb pavimentação vias públicas urbanas município mato grosso implantação pavimentação vias públicas urbanas município pedras fogo pb"
